书名,可替换书名,朝代,注,注2,作者
寿松堂诗稿,,,,,徐来泰
寿花堂诗集,,清,,,黄模
寿雪山房诗稿,,清,,,陈广宁
寿菊仙馆吟稿,,,,,徐光绮
宋仁宗飞白歌,,,,减,高应午
宋文宪公全集,又称宋学士集,明,,,宋濂
宋元通鉴,,明,,,薛应旂
宋史,,元,,,脱脱
宋史纪事本末,,明,,,陈邦瞻
宋史全文,,元,,,佚名
宋史新编,,明,,,柯维骐
宋会要,,,,,范师道
宋状元录,,,,,
宋季三朝政要,,,,,佚名
宋京城图,,,,,
宋诗纪事,,清,,,厉鹗
宋学士集,,明,,增,宋濂
宋高僧传,,宋,释,增,赞宁
宋浙江图,,,,减,
宋崔清献公言行录,,明,,,崔子璲
听雨录,,,,,陈玉几
听雨斋诗集,,清,,,吴照
听雨楼集,,清,,,汪沆
听秋声阁诗钞,,清,,,秦湘业
听秋馆吟稿,,,,,朱承鉽
听秋馆诗,听秋馆初选诗,,,,黄经纬
听泉诗钞,,清,,,张达庆
听香斋集,,清,,,胡珵
听香斋集诗注,,清,,减,胡珵
听雪楼稿,,,,,黄孙灿
听鹂亭诗集,听鹤亭诗集,清,,,戴廷熺
听潮集,,清,,,阮芝生
投壶诗集,,清,,,朱文藻
投辖录,,宋,,,王明清
吞松阁集,,清,,,郑虎文
汪氏武林支谱,,,,减,
汪氏家乘,,,,,
汪氏秘籍,,,,,
尾蔗丛谈,,,,,李调文
吴山考古略,,,,,
吴山集,,,,减,
吴山雅集图记,,清,,增,陈鱣
吴山遗事诗,,清,,,朱彭
吴山楹对录,,清,,,童丽金
吴氏家集,,清,,,吴清鹏
吴氏鷇音,,清,,,吴宁
吴之山集,,,,增,
吴中金石记,,,,,顾沅
吴礼部诗话,,,,,吴师道
吴泾苹唱,,,,,姚燮
吴涧莼诗选,,,,,吴曾贯
吴清鹏诗注,,清,,增, 吴清鹏
吴越备史,,宋,,,钱俨
吾尽吾意斋乐府,,,,减,陈皋
匣剑集,,清,,,戴熙
闲居闲言,,清,,减,汪绍莲
闲居录,,元,,,吾邱衍
闲味轩诗钞,,,,增,
闲谈消夏录,,,,,李翊清
亨甫诗选,,,,,张际亮
肖愚诗稿,,,,增,
孝娥古井真迹碑记,,清,,增,王凯泰
孝慈庵集,,,,,
辛酉记,,清,,,张光烈
秀砚斋吟稿,,清,,,赵信
轩渠录,,,,,吕居仁
巡西道修造军火器械碑,,明,,,郭奎
严州府志,,清,,,胡书源
延芬堂集,,,,,汪鹤声
杨文敏公集,,明,,,杨荣
杨文懿公文集,,明,,,杨起元
杨知审斋诗钞,,,,,
杨鸿钧挽诗,,,,减,
医林指月侣山堂类辨,作者错误,,,减,张志聪
医林指月侣山堂类辩序跋,,清,,增,王琦
艺香词钞,,清,,,吴绮
吟红阁诗钞,,清,,,夏伊兰
吟孙书屋诗钞,,,,,王有钧
吟竹山房诗,吟竹山房集,清,,,琐成
吟余琐识,,清,,,孙兆麟
吟花室诗存,,清,,,孙兆麟
吟惧山房诗,,清,,,龚禔身
应潜斋先生集,应潜斋集,清,,,应㧑谦
酉山诗钞,酉山诗草,清,,,王大全
余香草堂集,,,,,潘孝基
余姚县志,,清,,,唐若瀛
余庵杂录,,,,,陈恂
园诗前集,,,,减,李天植
张子野词,,宋,,,张先
张文端公全集,,清,,,张鹏翮
张光弼诗集,,元,,增,张昱
张𡵚老编年诗,玠老编年诗,,,减,金张
张来仪文集,,,,,
张忠烈公祠堂碑铭,,清,,,董沛
张裕诗,,,,减,
志怪录,,明,,,祝允明
志雅堂杂钞,,宋,,,周密
志壑堂诗集,,清,,,唐梦赉
豸华堂文钞,,清,,,金应麟
豸华堂存稿,豸华堂诗钞,清,,,金应麟
忠孝祠记,,清,,增,沈升峤
忠雅堂集,忠雅堂文集,清,,,蒋士铨
忠敬堂汇录,,清,,,胡嗣运
作朋集,,,,,严仲子
败皮集,,,,,陈树楷
宝仁堂鹿革囊,,,,,俞钟云
宝日轩诗集,,清,,,汪德溥
宝纶堂文钞,,清,,,齐召南
宝纶堂诗钞,,清,,,齐召南
宝纶堂集,,明,,,陈洪绶
宝极观重建三清殿碑铭并序,,清,,增,魏谦升
宝闲堂集,,清,,,张四科
宝祐四年登科录,,,,,
宝真斋法书赞,,宋,,,岳珂
宝幢诗钞,李宝幢先生诗钞,清,,,李汪度
抱山堂续集,,清,,减,朱彭
抱山堂集,,清,,,朱彭
抱玉堂集,,清,,,周三燮
抱经堂文集,,清,,,卢文弨
泊鸥山房集,,清,,,陶元藻
补陀伽山传附录,,元,,,盛熙明
采兰簃集,,清,,,
采访节孝祠案录,,,,,
采菽堂诗集,,清,,,陈祚明
参学知津,,清,释,,显承
昌化县志,,,,,
昌谷集,,唐,,,李贺
陈氏家谱,,,,,陈德星
陈氏家谱,,清,,,陈玉照
陈氏家谱考略,,,,减,
陈氏谱牒纪略,,清,,,陈玉照
陈允平诗,,,,减,
陈际叔诗,,清,,,陈廷会
陈乾初先生文集,,清,,,陈乾初
陈敬亭方伯文,,,,减,
诚斋诗话,,宋,,,杨万里
诚斋集,杨诚斋集,宋,,,杨万里
诚意伯文集,,明,,,刘基
邸钞全录,,,,,
钓鱼篷山馆集,,,,,刘佳
定山堂诗余,,清,,,龚鼎孳
定乡杂著,,清,,,胡敬
定香亭图记,定香亭图记（石刻）,,,,瞿鸿机
定香亭笔谈,,清,,,阮元
定香亭赋,,清,,减,端木国瑚
定斋集,,宋,,,梁戡
定庵文集,,清,,增,陈之暹
咄咄吟,,清,,,贝子木
法喜集,,清,释,,禅一
放翁逸稿,,宋,,增,陆游
氛垢未离集,,,,,俞国琛
枫窗小牍,,宋,,,袁褧
奉萱集,,清,,,汪沆
庚己编,,明,,增,陆粲
庚巳编,,明,,减,陈灿
庚辛泣杭录,,清,,,丁葆和
庚溪诗话,,宋,,,陈岩肖
姑苏志,,,,,卢熊
孤石山房诗集,,清,,,沈心
国史馆列传,,,,,
国史唯疑,,,,,
国史儒林传,,清,,增,阮元
国初事迹,,明,,,刘辰
国朝文征,,清,,,吴翌凤
国朝耆献类征初编,,清,,,李桓
还读斋诗,还读斋集,清,,,韩葑
杭州八旗驻防营志略,,清,,,张大昌
杭州三书院纪略,,清,,,王同
杭州土桥莲居庵碑记,,,,,薛邦瑞
杭州府仁和县儒学田碑记,,明,,增,
杭州府志,不详,,,增,
杭州府学观宋石经赋,,,,减,朱锡荣
杭州府学观南宋石经赋,,,,减,施补华
杭州使院范文正公祠记,,清,,增,
杭州南雷二将军庙碑,,,,增,
杭州郡庠乡贤题名碑记,,,,,虞囗
杭州路重建庙学记,,元,,减,孟昉
杭城永济仓新廒记,,清,,增,唐壬森
杭郡诗二辑,,清,,增,丁申、丁丙
杭郡诗三辑,,清,,,丁申、丁丙
杭郡诗续集,,清,,增,丁申、丁丙
杭郡诗续辑,,清,,,吴振棫
杭郡诗辑,,清,,,吴灏
杭郡重修礼拜寺记,（石刻）,明,,增,郑厚
杭都杂咏,,清,,,张鉽
杭嘉义学合志,,,,,
和鸣集,,,,,冯娴
河干小记,,清,,,陆廷旬
虎林春游记,,明,,,张煌言
虎跑寺志,,清,释,,法深
画法大成,,,,,朱寿镛
画征录,,,,,张庚
画舫斋词,,,,,朱人凤
画梅楼词,,,,,汤雨生
画髓元诠,,明,,增,卓尔昌
话云轩咏史诗,,,,,曹振镛
话堕集,,清,释,,篆玉
环山房诗钞,环山房诗草,清,,,施远恩
环翠阁诗钞,,,,,张介
驾斋集,,清,,,施廷枢
驾部前集,李时行驾部前集,,,,李时行
节孝祠记,,,,,
节孝碑记,,,,,
节庵集,高节庵集,,,,高得阳
玠老编年诗,张玠老编年诗,清,,,金张
玠老编年诗注,,清,,减,金张
金牛湖渔唱,,清,,减,张云璈
金氏宗谱,,,,,
金龙祠墓录,金龙四大王祠墓录,清,,,仲学辂
金石屑,,清,,,鲍昌照
金陀续编,,宋,,,岳珂
金帚集,,,,,冯春潮
金陵集,,清,,,吴农祥
金粟逸人逸事,,清,,,朱琰
金粟影庵存稿,,清,,,顾澍
金粟影庵词,,清,,,顾澍
金鼓洞志,,清,,,朱文藻
金德瑛诗存,,,,,
近山堂集,,明,,,金璐
近清堂诗,近清堂集,,,,卓尔堪
近游诗钞,,,,,沈大成
泾皋藏稿,,明,,增,顾宪成
经义考,,清,,,朱彝尊
经纬堂诗集,,,,,杜臻
经草堂遗稿,,,,,邱永云
经畲堂诗稿,,清,,,张世进
经鉏堂杂志,经纽堂杂记,宋,,,倪思
经韵楼集,,清,,,段玉裁
净土咏史,,元,,,李齐
净慈寺志,,清,释,,际祥
居业堂文稿,,清,,增,
居竹轩集,,元,,,成廷珪
具茨文集,,明,,,王立道
连枝图题咏集,,清,,,许承基
林下偶谈,,,,,荆溪吴氏
岭云诗钞,,清,,,程之琇
岭南游草,,,,,姚承宪
泠然斋集,,宋,,,苏泂
录鬼簿,,,,,钟嗣成
陆氏家谱,,清,,,陆繁弨
陆丽京笔记,,明,,,
陆放翁年谱,,清,,,钱大昕
陆浑山人集,,,,,胡栗
陆芑洲遗稿,,清,,,陆文谟
罗安集,,,,减,高树程
罗圭峰集,,明,,,罗玘
孟亭居士文稿,,清,,,冯浩
孟亭居士诗稿,,清,,,冯浩
孟晋斋诗集,,清,,,陈章
明一统志,,明,,,李贤
明书,,清,,,傅维麟
明文海,,清,,,黄宗羲
明月庵碑记,,明,,增,钱受益
明史,,清,,,张廷玉
明应谥名臣备考录,,,,,林之盛
明诗综,,清,,,朱彝尊
明斋小识,,,,,诸联
明浙江布政使司督粮道题名记,（石刻）,明,,增,李叔元
明碧轩诗,,,,减,王介甫
明僧宏秀集,,明,,减,宏秀
牧斋有学集,,清,,,钱谦益
牧斋集,,清,,,钱谦益
牧潜集,,元,释,,圆至
妮古录,,明,,,陈继儒
拗堂诗集,,,,,景星杓
欧阳文忠公集,,宋,,,欧阳修
欧庵诗钞,,,,,胡世巽
庞氏家谱,,清,,,庞文来
佩韦斋文集,,宋,,,俞德邻
佩堂吟草,,,,,杨金兰
奇零草,,,,,
侨吴集,,元,,,郑元祐
青山集,,元,,,赵文
青岑遗稿,,清,,,朱棆
青阁集,,,,,陆进巢
青贻堂存稿附录,,清,,增,
青棂馆诗稿,,,,,倪象占
青崖集,,元,,,魏初
青湖杂志,,,,,
青疏寮集,,,,减,王路
青霞集,,,,,李时行
取斯集,,,,,许震元
取斯集诗选,,清,,减,戴廷熺
尚友堂诗集,,,,,马次山
绍兴十八年同年小录,,宋,,,佚名
邵位西遗文,,清,,,邵㦤辰
审是斋诗钞,,,,,杨知
诗人玉屑,,宋,,,魏庆之
诗话总龟,,宋,,,阮阅
诗娱室诗集,,清,,,黄安涛
诗苑雅谈,,清,,,罗以智
实夫诗存,,清,,,李若虚
使琉球录,,清,,,汪楫
使琉球录,,明,,,萧崇业
始丰稿,,明,,,徐一夔
事物纪原,,宋,,,高 承
松乡集,松乡文集,元,,,任士林
松凫吟草,,,,,邵希曾
松声池馆诗存,,清,,,汪璐
松雪斋集,,元,,,赵孟頫
松窗笔乘,,,,,方象瑛
松窗梦语,,明,,,张瀚
松隐文集,,清,,,曹廷栋
松隐集,,宋,,,曹勋
松塍斋遗稿,,,,,余大观
松韵堂集,,明,,减,孙七政
松霭诗略,,,,,周寿
松籁阁诗钞,,清,,,陈均
松鳞诗集,,清,,,孙大志
昙云阁诗集,,,,,曹楙坚
弢甫文集,桑弢甫集,清,,,桑调元
帖经小课跋,,清,,,孙志祖
玩斋集,,元,,,贡师泰
玩鹿亭稿,,明,,,万表
宛委山人诗集,,,,,刘正谊
味青馆笔记,,清,,,张应昌
味道轩笔记,,清,,,杨文杰
卧月轩诗稿,,清,,减,顾若璞
卧云轩集,,清,,减,周骏发
卧云诗钞,,,,,仇兰
卧陶轩集,卧陶轩诗集,清,,,周骏发
武林人物志略,,,,,
武林人物新志,,清,,,施朝乾
武林王氏宗谱,,,,增,
武林文献,,,,,
武林文献按语,,明,,减,吴允嘉
武林文献集录,,,,减,
武林元妙观志,,清,道,减,仰蘅
武林古迹考,,,,,
武林旧事,,宋,,,周密
武林石刻记,,,,,
武林市肆吟,,,,,
武林访碑录,,清,,,黄易
武林纪略,,,,,黄鸣俊
武林纪事,,明,,,吴瓒
武林孙氏家乘,,,,增,
武林汤氏宗谱,,清,,,汤砚农
武林先雅,,清,,,黄模
武林杂志,,清,,,林澜
武林杂录,,清,,,卢文弨
武林杂事记,,,,,
武林杂事诗,,,,,丁立诚
武林坊巷全图,,清,,,胡次瑶
武林志余,,清,,,张旸
武林金石志,,清,,,倪涛
武林事物杂咏诗,,清,,减,沈仲炘
武林怡老会诗集,,明,,,张瀚等
武林钞,,,,减,
武林闻见录,,,,,
武林耆旧志,,,,,
武林耆旧集,,明,,,李旻
武林神祗考,,,,,张子春
武林谈薮,,清,,增,朱彭
武林梵志,,明,,,吴之鯨
武林联话,,清,,减,丁立中
武林棹楔录,,清,,,高金栋
武林遗稿,,,,,
学古录,,元,,减,赵孟頫
学古集,,清,,,宋大樽
学佛考训,,,,,
学诗初稿,,宋,,,王同祖
学易山房诗稿,,,,,程继朋
学积堂二集,,,,减,程端
学院创设憎字炉碑,（石刻）,清,,增,周兆基
学福斋诗集,,清,,,沈大成
学福堂集,错误,清,,减,沈士成
宜斋野乘,,宋,,,吴枋
宜堂小稿,,,,,
怡云诗稿,,,,,吴鉴
怡云集,,,,,赵泰
怡园诗草,,清,,,盛元
怡园诗集,,清,,,姜安
怡亭诗草,,清,,减,姜安
怡颜诗钞,,,,,章廷宏
峄琴诗集,,清,,,潘衍桐
拥书楼诗钞,,清,,,李文通
拥被吟,,,,,屠维
拥被吟,,清,,,陈云飞
咏梅轩思忠录,,清,,增,谢兰生
雨枫诗存,,,,,瞿贻孙
远村吟稿,,清,,,陈修可
岳侯传,,,,,
枣林杂俎,,清,,,谈迁
枣林诗集,,清,,,谈迁
择福堂日记,,清,,,邹在寅
泽雅堂集,,清,,,施补华
枕山阁诗草,,清,,,叶丹
枕山楼吟稿,,清,,,钱选
枕经堂题跋,,清,,,方朔
征君文钞,吴庆百征君文钞,,,,吴庆百
枝山集,,明,,,祝允明
枝玉诗钞,枝玉诗草,,,,严以宽
知止堂文集,,清,,,朱绶
知止堂词录,,清,,,朱绶
知止堂诗录,,清,,,朱绶
知圣道斋读书跋尾,,,,,
知足斋文集,,清,,,朱珪
知还集,,清,,,张云璈
知悔斋诗稿,,,,,张士宽
织染局碑记,,明,,,江晓
直道录,,明,释,,袾宏
质园诗集,,清,,,商盘
周氏广业宁志余闻,,,,减,
周东田集,,,,,
周益公文忠集年谱,,,,,
周益公奏议,,宋,,,周必大
周益公集,,宋,,,周必大
卓庐文稿,,清,,,陈墉
拙吾诗稿,,清,,增,高鼎
拙宜处存稿,,清,,,邢浩图
宗文义塾规条,,,,,
总抚浙江都察院题名记,,清,,增,陈应泰
邹氏宗谱,,,,,
邹道乡集,,宋,,,邹浩
拜石山房诗钞,,,,,顾瀚
拜经楼诗话,,清,,,吴骞
拜经楼诗集,,清,,,吴骞
拜经楼藏书题跋记,,清,,,陈鳣
保母砖跋尾,,清,,,高士奇
保甓斋文录,,清,,,庄仲芳
表忠观碑,,宋,,减,苏轼
表忠观碑纪事记,,,,减,
表忠观碑纪事序,,,,减,
表忠观碑纪事诗,,,,,
屏岩小稿,,,,,张观光
查伊璜年谱,,,,,
查浦诗钞,,清,,,查嗣瑮
查浦辑闻,,清,,,查嗣瑮
柴氏家谱,,,,,
柴省轩文钞,省轩文钞,清,,,柴绍炳
城北读书余记,,清,,,陈光照
城北集,,清,,,高士奇
城东许氏祠略,,,,,
城东草堂诗,,清,,,潘承翰
城东集,,,,,张枢
城西小志,,清,,增,廷玉
城西丛录,,,,,蔡玉瀛
城西古迹考,,,,,
城南小志,,清,,,廷玉
城南访碑录,,清,,,姚已元
城隍庙旧志,,,,增,
城隍庙志,,清,,,卢松
重论文斋笔录,,清,,,王端履
重设仁和学宫祭名宦乡贤祠木主记,,清,,增,王庶善
重阳庵八咏诗,,,,减,
重阳庵志,,,,,
重阳庵集,,明,,,梅志暹
重复慧云寺建宣义张公祠碑,,宋,,增,吴用先
重建小天竺禅林碑记,（石刻）,清,释,增,际亮
重建仁和县学记,,清,,增,马新贻
重建仁和县属学明伦堂碑记,,清,,增,包映奎
重建东桥碑记,,清,,增,祖光佩
重建宝善桥记,,清,,增,俞嘉森
重建海会寺记,（石刻）,清,,增,熊学鹏
重建钱塘县学记,,清,,增,马新贻
重建钱塘县学碑记,,清,,增,谷应泰
重阆斋集,,,,,汪德容
重修仁和县儒学记,,清,,增,徐庶
重修天后宫碑记,,清,,,张浚万
重修东岳中兴观记,,明,,减,江晓
重修后乐园记,（石刻）,清,,,陈元鼎
重修兴福庙碑记,重修兴福庙碑记石刻,,,,张恩杰
重修两浙盐法志,,明,,减,王圻
重修吴山祗园寺记（石刻）,,清,,减,卢文弨
重修忠孝泉井亭记,,清,,,王祖光
重修忠烈庙碑记,,,,,
重修杭州右卫左所天妃宫记,,,,增,黄克谦
重修杭州府学明伦堂碑记,,明,,,黄鸣俊
重修杭郡名宦乡贤祠记石刻,,,,减,纳兰常女
重修钱塘县学记,,清,,增,钱琦
重修钱塘学建尊经阁复褒忠祠碑记,,清,,增,觉罗满保
春风草堂诗,,清,,,朱点
春及堂诗集,,清,,,倪国琏
春凫小稿,,清,,,符曾
春在堂文集,,清,,,俞樾
春在堂杂文,,清,,,俞樾
春在堂诗编,,清,,,俞樾
春早堂集,,,,,俞灏
春园吟稿,,消,,,查有新
春雨诗钞,,清,,,黄大龄
春柳堂诗钞,,清,,,卢之翰
春星堂诗集,,明,,增,汪汝谦
春星堂绮咏,,明,,,汪汝谦
春星草堂诗稿,,清,,,吴熙
春晖堂诗集,,清,,,夏鸾翔
春圃遗草,,,,,黄基
春渚纪闻,,宋,,,何薳
春融堂集,,清,,,王昶
带星草堂诗,,,,,曹文植
洞微志,,宋,,,钱易
独旦集,,清,,,高士奇
独学庐初稿,,清,,,石蕴玉
独醒杂志,,宋,,,曾敏行
盾鼻余沈,,清,,,左宗棠
复丁老人草,,,,,张云璈
复见心斋诗钞,,清,,,孙人凤
复庄诗问,,清,,,姚燮
复初斋文集,,清,,,翁方纲
复初斋诗集,,清,,增,翁方纲
柑园小识,,清,,减,朱枫
诰封奉政大夫江南左营游击暑城守副将加三级孙公墓志铭,,,,增,
阁泉吟稿,,,,,熊逵
虹映堂诗集,,清,,增,郭浚
虹映堂集,,清,,,郭浚
虹桥老屋吟稿,,清,,,秦湘业
闺阁诗钞,,,,,
癸辛杂识,,宋,,,周密
贵耳录,,宋,,,张端义
洪武府志,洪武杭州府志,明,,,徐一夔
洪钟襄惠公集,,明,,,洪钟
洪道大师像记,（石刻）,,,增,
厚石斋集,,清,,,汪孟鋗
厚甫文集,,清,,,陈钟麟
狯园,,明,,,钱希言
皇甫司勋集,,明,,,皇甫汸
皇清文学徐问翁自撰墓志铭,,清,,增,徐楙
挥麈三录,,宋,,,王明清
挥麈后录,,宋,,,王明清
挥麈余录,,宋,,,王明清
挥麈前录,,宋,,,王明清
活人书,,,,,
剑南诗稿,,宋,,,陆游
剑南逸稿,,明,,减,毛晋
建炎以来系年要录,,宋,,,李心传
建炎以来朝野杂记,朝野杂记,宋,,,李心传
建造节义庵碑记,,清,,增,严沆
姜白石词集,,宋,,,姜夔
姜蓉塘文,,,,减,
绛云楼书目,,清,,,钱谦益
觉民诗集,,,,,丁翊
觉生咏史诗钞,,,,,鲍桂星
觉庵类咏,,,,,
觉庵续咏,,清,,,陈春晓
洁夫文集,,清,,,柳囗
绝妙好词,,宋,,,周密
绝妙好词记事,,,,,
绝妙好词笺,,清,,,查为仁、厉鹗
看云吟稿,,,,,张鸿勋
柯家山馆词,,清,,,严元照
柯家山馆遗诗,,清,,,严元照
客杭日记,,元,,,郭畀
客窗二笔,,,,减,金捧阊
客越志略,,明,,,王稚登
郎仁宝杂文,郎仁宝集文,明,,,郎瑛
郎潜纪闻,,清,,,陈康祺
类博稿,,,,减,岳正
临安旬制纪,,清,,,张道
临安集,,明,,,钱宰
临江乡人集,,清,,,吴颍芳
临野堂别集,,清,,,钮琇
临野堂集,,清,,,钮琇
玲珑帘词,,清,,,吴焯
流芳亭总记,,清,,,
柳待制文集,,,,,柳贯
柳南文钞,,,,,王应奎
柳南续笔,,,,,王应奎
柳南随笔,,,,,王应奎
柳洲子集,,清,,,兆熊
柳洲遗稿,,清,,,魏之琇
柳塘外集,,宋,释,,道璨
勉行堂诗集,,清,,,程普芳
勉戒切要录,,,,,吴明高
闽游杂诗,,,,,赵𥮏
闽幕纪略,,,,,许旭
洺水集,程洺水集,宋,,,程泌
耐冷续谭,,清,,,宋咸熙
耐冷谭,,清,,,宋咸熙
南山集,,,,,宋潜虚
南丰集,,宋,,,曾巩
南北纪事,,清,,减,陆梯霞
南田诗,,清,,,恽格
南华诗钞,,,,,张鹏翀
南村诗稿,,,,,潘高
南宋古迹考,,清,,,朱彭
南宋杂事诗,,清,,,沈嘉辙
南宋相眼,,,,,
南宋院画录,,清,,,厉鹗
南宋馆阁录,,宋,,,陈骙
南巡进呈御览,,,,,
南巡盛典,,清,,,高晋
南巡盛典图说,,,,,
南屏山房集,,,,,陈昌图
南香草堂诗集,,清,,,梁启心
南涧吟草,,清,释,,实月
南野堂笔记,,清,,,吴文溥
南野堂集,,清,,,吴文溥
南窗纪谈,,,,,佚名
南湖纪闻,,,,,
南湖草堂诗集,,元,,,施学韩
南湖集,,,,,贡性之
南湖集附录,,,,减,
南湖集缘起,,宋,,减,
南雷诗历,,清,,,黄宗羲
南楼吟草,,,,,徐映玉
南楼诗钞,,清,,,孙宏
南溪寤歌,,清,,,郑性
南墅小稿,,,,,徐以震
南漪遗集,,,,,张熷
南漳子,,清,,,孙之騄
南疆绎史,,,,,
瓯北集,,清,,,赵翼
瓯亭小稿,,清,,,吴城
瓯香馆集,,清,,,恽格
鸥群馆应试诗赋钞,,清,,,徐熊飞
祈雨宝录,,,,减,俞宾梅
咠湖诗钞,,清,,,王路清
前贤小集拾遗,,宋,,,无名氏
钤山堂集,,明,,,严嵩
浅山园诗集,浅山园集,清,,,李芝
浅山堂集,,清,,,赵贤
亲睦堂诗钞,,,,,张炯
钦斋诗稿,,清,,,苏惇元
钦斋稿,,,,减,陆飞筱
钦善吉堂诗稿,,清,,增,张若采
秋山书屋诗存,,,,,严永昶
秋水集,,,,,吴严
秋江烟草,宋百家诗存,宋,,,张弋
秋声馆吟稿,,清,,,符之恒
秋泾笔乘,,明,,,宋凤翔
秋林琴雅,,清,,,厉鹗
秋岩诗存,,清,,,黄楷
秋铃集,,清,,,吴农样
秋啸堂诗稿,,清,,增,孙麟
秋雪山房遗稿,,清,,,徐廷锡
秋窗病余录,,,,,蔡廷弼
秋景庵印跋,,,,,
秋药庵诗集,,清,,,马履泰
秋塍书屋文钞,,清,,,王斯年
秋塍书屋诗钞,,清,,,王斯年
秋籁轩集,,清,,,金世绶
泉州志,,,,,
泉南杂志,,明,,增,陈懋仁
绕竹山房续诗稿,,,,,朱文治
珊珊轩诗,,,,,徐梦元
珊瑚木难,,明,,,朱存性
珊瑚网,,明,,,汪珂玉
珊瑚网法书题跋,,明,,,汪珂玉
省吾斋诗赋集,,清,,,窦光鼐
省斋文稿,,,,,
胜朝彤史拾遗,,清,,,毛奇龄
食古研斋诗初集,,清,,,陈瑞琳
是亦轩诗稿,,,,,
是亦草堂诗稿,,,,,杨元恺
是程堂倡和投赠集,,,,减,
是程堂集,,清,,,屠倬
树经堂咏史诗,,,,,
述异记,,梁,,,任昉
述学,,清,,,汪中
说诗堂集,,清,,,诸匡鼎
说饼斋集,,,,,郝莲
说储二集,,明,,,陈禹谟
思古堂集,,清,,,毛先舒
思旧录,,,,,
思忠录,,,,减,
思补斋诗集,,清,,减,潘世恩
思补斋笔记,,清,,,潘世恩
思复斋稿,,,,,胡粹中
思贴堂诗钞,,清,,增,
思陵录,,宋,,,周必大
思绮堂集,,清,,,章藻功
俟宁居偶咏,,,,,朱休度
恬养斋集,,清,,,罗以智
恬裕斋藏书记,,清,,,瞿镛
恸余杂记,,,,,史惇
威凤堂偶录,,清,,,陆圻
畏庵零缀集,,,,,徐炳
闻见闲言,,,,,汪绍莲
闻见琐录,,,,,陶大年
洗句亭诗钞,,清,,,曹芝
洗我蓬心庐偶吟,,清,,,孙震元
洗冤录集说,,宋,,,宋慈
咸丰年修浚黄婆荡碑记,,,,减,
咸淳志,咸淳临安志,宋,,,潜说友
香南雪北庐词,,清,,,吴藻
香树斋文集续钞,,清,,,钱陈群
香树斋诗集,,清,,,钱陈群
香苏山馆诗钞,,,,,吴嵩梁
香消酒醒词,,清,,,赵庆熺
香禅精舍集,,清,,,潘钟瑞
项氏家乘,,清,,,项焘
信征录,,清,,,徐庆滨
星叟诗,吴星叟诗,清,,,吴庆百
星苏集,,,,减,
须草堂集,,,,,王台夫
弇州稿,,明,,,王世贞
咽喉脉证通论,,清,,,许乃济
砚北删余,,,,,诸克绍
砚寿堂诗钞,,,,,吴存楷
砚林诗集,,清,,,丁敬
砚香斋诗钞,,,,,诸璧发
砚堂吟稿,,,,,赵信秀
养生经验合集,,清,,,毛世法
养余丛稿,,清,,,张大昌
养园集,,清,,,许乃普
养疴丛记,,清,,,姚已元
养瘉丛稿,养余丛稿,清,,减,张大昌
养蒙集诗,,,,减,张伯淳
姚舍人文集,,宋,,增,姚勉
姚舆正夫集,姚舆正夫文集,清,,,姚舆
耶溪渔隐词,,清,,,屠晫
贻砚斋诗稿,,清,,,孙秀芬
贻砚堂诗集,,清,,,高光煦
贻清堂集,,,,,
映雪楼文偶钞,,清,,,庄仲方
幽怪录,,唐,,,牛僧孺
昭代文选,,清,,,丁灏
昭平先生传,,,,,陈定九
昭庆律寺志,,清,,,吴树虚
昭忠录,,明,,,周璟
赵恭毅公剩稿,,清,,,赵申高
柘轩集,凌柘轩集,明,,,凌云翰
郑孔肩文集,,明,,,郑圭
郑忠肃公年谱,,宋,,,郑兴裔
钟秀堂集,,,,,吴镇
钟秀堂遗稿,,,,,吴镇
种秀堂遗稿,书名错误,,,减,吴镇
种药斋诗钞,,,,,陈时
种榆仙馆诗,,清,,,陈鸿寿
斫研山房诗钞,,,,,沈炳恒
昨非庵日纂,,,,,郑暄
爱日堂吟稿,,清,,,赵昱
爱日堂附稿,,,,,
爱日堂诗稿,,清,,减,赵昱
爱日堂集,,清,,,孙宗彝
病榻琐谈,,清,,,屠倬
苍砚山人集,,,,,吴泰
苍源剩草,,清,,,冯梦祖
耻斋吟稿,,,,,
读史方舆纪要,,清,,,顾祖禹
读史诗,,,,,
读耕草堂集,,,,,褚如通
读雪轩稿,,,,,孙承勋
峨嵋山房吟草,,清,,,沈飏
芬香阁初编,,清,,,王褧之
峰青馆诗钞,,清,,,钱国珍
浮溪集,,宋,,增,汪藻
皋亭山日佛寺金台大师铭,,清,,增,张缙彦
皋亭山馆诗草,,清,,,范元伟
高氏宗祠石刻记,,,,增,沈赤然
高阳许氏家谱,,,,,
高阳挽集,,,,,
高尚书夜山图,,,,减,
高宗纯皇帝御制吴山诗十首,,清,,增,乾隆
高宗纯皇帝御制诗二集,,,,,
高宗纯皇帝御制诗三集,,,,,
高宗纯皇帝御制诗囗集,,,,增,
高宗纯皇帝御制诗五集,,,,,
高宗纯皇帝御制诗四集,,,,,
高隐山房诗钞,,清,,,水上善
高隐山楼诗钞,,清,,,水上善
高菊涧集,,,,,高翥
耕余集,,,,,张尔嘉
耕畲堂杂记,,清,,,姚士隆
躬厚堂集,,,,,张金镛
顾柏子集,,明,,,顾允默
鬼董,,,,,
桂山堂诗钞,,,,,王嗣槐
桂岩小隐集,,,,,魏银河
